Rk,Player,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,OBP,SLG,OPS,Player-additional
96,Trevor Larnach*,28,MIN,142,567,503,62,126,24,1,17,60,0.323,0.404,0.727,larnatr01
97,Nolan Schanuel*,23,LAA,132,564,488,64,129,23,1,12,53,0.353,0.389,0.742,schanno01
98,Willson Contreras,33,STL,135,563,490,70,126,31,1,20,80,0.344,0.447,0.791,contrwi01
99,Josh Smith*,27,TEX,144,563,495,70,124,23,2,10,35,0.335,0.366,0.7,smithjo11
100,Bryson Stott*,27,PHI,147,560,499,66,128,22,3,13,66,0.328,0.391,0.719,stottbr01
101,Mike Yastrzemski*,34,2TM,146,558,477,68,111,28,1,17,46,0.333,0.403,0.735,yastrmi01
101,Mike Yastrzemski*,34,SFG,96,372,321,38,74,14,1,8,28,0.33,0.355,0.685,yastrmi01
101,Mike Yastrzemski*,34,KCR,50,186,156,30,37,14,0,9,18,0.339,0.5,0.839,yastrmi01
102,Ketel Marte#,31,ARI,126,556,480,87,136,28,0,28,72,0.376,0.517,0.893,marteke01
103,Mike Trout,33,LAA,130,556,456,73,106,14,1,26,64,0.359,0.439,0.797,troutmi01
104,Zach Neto,24,LAA,128,554,502,82,129,29,1,26,62,0.319,0.474,0.793,netoza01
105,Brandon Lowe*,30,TBR,134,553,507,79,130,19,0,31,83,0.307,0.477,0.785,lowebr01
106,Xander Bogaerts,32,SDP,136,552,491,63,129,30,0,11,53,0.328,0.391,0.72,bogaexa01
107,Andrew McCutchen,38,PIT,135,551,477,51,114,22,0,13,57,0.333,0.367,0.7,mccutan01
108,J.T. Realmuto,34,PHI,134,550,502,57,129,26,1,12,52,0.315,0.384,0.7,realmjt01
109,Adolis García,32,TEX,135,547,507,58,115,28,0,19,75,0.271,0.394,0.665,garciad02
110,Alec Burleson*,26,STL,139,546,497,54,144,26,2,18,69,0.343,0.459,0.801,burleal01
111,Lourdes Gurriel Jr.,31,ARI,129,546,500,52,124,24,2,19,80,0.295,0.418,0.713,gurrilo01
112,Teoscar Hernández,32,LAD,134,546,511,65,126,29,1,25,89,0.284,0.454,0.738,hernate01
113,Gavin Sheets*,29,SDP,145,545,492,57,124,28,1,19,71,0.317,0.429,0.746,sheetga01
114,Oneil Cruz*,26,PIT,135,544,471,62,94,18,3,20,61,0.298,0.378,0.676,cruzon01
115,Lenyn Sosa,25,CHW,140,544,518,57,137,20,1,22,75,0.293,0.434,0.727,sosale01
116,Ryan O'Hearn*,31,2TM,144,544,474,67,133,21,1,17,63,0.366,0.437,0.803,ohearry01
116,Ryan O'Hearn*,31,BAL,94,361,311,45,88,15,1,13,43,0.374,0.463,0.837,ohearry01
116,Ryan O'Hearn*,31,SDP,50,183,163,22,45,6,0,4,20,0.35,0.387,0.736,ohearry01
117,Jeremy Peña,27,HOU,125,543,493,68,150,30,2,17,62,0.363,0.477,0.84,penaje02
118,Byron Buxton,31,MIN,126,542,488,97,129,21,7,35,83,0.327,0.551,0.878,buxtoby01
119,Luis Rengifo#,28,LAA,147,541,501,55,119,16,3,9,43,0.287,0.335,0.622,rengilu01
120,Brenton Doyle,27,COL,138,538,502,57,117,23,2,15,57,0.274,0.376,0.651,doylebr02
121,Masyn Winn,23,STL,129,537,491,72,124,27,0,9,51,0.31,0.363,0.673,winnma01
122,Matt Chapman,32,SFG,128,535,454,76,105,23,2,21,61,0.34,0.43,0.77,chapmma01
123,Paul Goldschmidt,37,NYY,146,534,489,76,134,31,1,10,45,0.328,0.403,0.731,goldspa01
124,Marcus Semien,34,TEX,127,534,470,62,108,16,1,15,62,0.305,0.364,0.669,semiema01
125,Josh Bell#,32,WSN,140,533,468,54,111,16,1,22,63,0.325,0.417,0.741,belljo02
126,Jazz Chisholm Jr.*,27,NYY,130,531,462,75,112,15,1,31,80,0.332,0.481,0.813,chishja01
127,Kyle Manzardo*,24,CLE,142,531,470,47,110,19,2,27,70,0.313,0.455,0.768,manzaky01
128,Ben Rice*,26,NYY,138,530,467,74,119,28,4,26,65,0.337,0.499,0.836,ricebe01
129,Brooks Lee#,24,MIN,139,527,487,50,115,15,1,16,64,0.285,0.37,0.654,leebr02
130,Luis García Jr.*,25,WSN,139,526,488,67,123,28,1,16,66,0.289,0.412,0.701,garcilu04
131,Jorge Polanco#,31,SEA,138,524,471,64,125,30,0,26,78,0.326,0.495,0.821,polanjo01
132,Shea Langeliers,27,ATH,123,523,481,73,133,32,0,31,72,0.325,0.536,0.861,langesh01
133,Jacob Wilson,23,ATH,125,523,486,62,151,26,0,13,63,0.355,0.444,0.8,wilsoja05
134,Jake Cronenworth*,31,SDP,135,515,419,61,103,20,1,11,59,0.367,0.377,0.744,croneja01
135,Brendan Donovan*,28,STL,118,515,460,64,132,32,0,10,50,0.353,0.422,0.775,donovbr01
136,Eric Wagaman,27,MIA,140,514,476,56,119,28,3,9,53,0.296,0.378,0.674,wagamer01
137,Josh Jung,27,TEX,131,511,482,53,121,23,1,14,61,0.294,0.39,0.684,jungjo01
138,Zach McKinstry*,30,DET,144,511,452,68,117,23,11,12,49,0.333,0.438,0.771,mckinza01
139,Caleb Durbin,25,MIL,136,506,445,60,114,25,0,11,53,0.334,0.387,0.721,durbica01
140,Alejandro Kirk,26,TOR,130,506,451,45,127,18,0,15,76,0.348,0.421,0.769,kirkal01
141,Joey Ortiz,26,MIL,149,506,470,62,108,18,1,7,45,0.276,0.317,0.593,ortizjo06
142,Chase Meidroth,23,CHW,122,505,450,54,114,15,0,5,23,0.329,0.32,0.649,meidrch01
143,Alec Bohm,28,PHI,120,504,464,53,133,18,3,11,59,0.331,0.409,0.741,bohmal01
144,Gavin Lux*,27,CIN,140,503,446,49,120,28,2,5,53,0.35,0.374,0.724,luxga01
145,Addison Barger*,25,TOR,135,502,460,61,112,32,1,21,74,0.301,0.454,0.756,bargead01
146,Harrison Bader,31,2TM,146,501,448,61,124,24,1,17,54,0.347,0.449,0.796,baderha01
146,Harrison Bader,31,MIN,96,307,271,31,70,13,0,12,38,0.339,0.439,0.778,baderha01
146,Harrison Bader,31,PHI,50,194,177,30,54,11,1,5,16,0.361,0.463,0.824,baderha01
147,Cedric Mullins*,30,2TM,133,498,435,58,94,23,1,17,59,0.299,0.391,0.69,mullice01
147,Cedric Mullins*,30,BAL,91,355,314,42,72,19,0,15,49,0.305,0.433,0.738,mullice01
147,Cedric Mullins*,30,NYM,42,143,121,16,22,4,1,2,10,0.284,0.281,0.565,mullice01
148,Jesús Sánchez*,27,2TM,134,497,451,61,107,21,4,14,48,0.304,0.395,0.699,sanchje02
148,Jesús Sánchez*,27,MIA,86,337,305,40,78,12,4,10,36,0.32,0.42,0.74,sanchje02
148,Jesús Sánchez*,27,HOU,48,160,146,21,29,9,0,4,12,0.269,0.342,0.611,sanchje02
149,Alex Bregman,31,BOS,114,495,433,64,118,28,0,18,62,0.36,0.462,0.821,bregmal01
150,Cam Smith,22,HOU,134,493,441,55,104,21,3,9,51,0.312,0.358,0.671,smithca07
151,Ty France,30,2TM,138,490,444,50,114,25,0,7,52,0.32,0.36,0.681,francty01
151,Ty France,30,MIN,101,387,350,41,88,19,0,6,44,0.32,0.357,0.678,francty01
151,Ty France,30,TOR,37,103,94,9,26,6,0,1,8,0.32,0.372,0.693,francty01
152,Nick Kurtz*,22,ATH,117,489,420,90,122,26,2,36,86,0.383,0.619,1.002,kurtzni01
153,Ramón Laureano,30,2TM,132,488,441,72,124,26,2,24,76,0.342,0.512,0.855,laurera01
153,Ramón Laureano,30,BAL,82,290,259,45,75,17,0,15,46,0.355,0.529,0.884,laurera01
153,Ramón Laureano,30,SDP,50,198,182,27,49,9,2,9,30,0.323,0.489,0.812,laurera01
154,Michael Conforto*,32,LAD,138,486,418,54,83,20,0,12,36,0.305,0.333,0.637,confomi01
155,Ángel Martínez#,23,CLE,139,484,446,56,100,23,2,11,45,0.269,0.359,0.628,martian02
156,Jackson Merrill*,22,SDP,115,483,440,59,116,25,6,16,67,0.317,0.457,0.774,merrija01
157,Max Kepler*,32,PHI,127,474,417,58,90,19,0,18,52,0.3,0.391,0.691,keplema01
158,Carlos Santana#,39,2TM,124,474,415,49,91,11,0,11,54,0.308,0.325,0.633,santaca01
158,Carlos Santana#,39,CLE,116,455,396,49,89,10,0,11,52,0.316,0.333,0.65,santaca01
158,Carlos Santana#,39,CHC,8,19,19,0,2,1,0,0,2,0.105,0.158,0.263,santaca01
159,Gabriel Arias,25,CLE,129,471,432,44,95,25,2,11,54,0.274,0.363,0.638,ariasga01
160,Andrew Benintendi*,30,CHW,116,470,420,57,101,16,2,20,63,0.307,0.431,0.738,beninan01
161,Dillon Dingler,26,DET,126,469,435,54,121,21,2,13,57,0.327,0.425,0.752,dingldi01
162,Alek Thomas*,25,ARI,143,469,433,51,108,19,3,9,38,0.289,0.37,0.659,thomaal01
163,Colt Keith*,23,DET,137,468,414,65,106,22,2,13,45,0.333,0.413,0.746,keithco01
164,Kerry Carpenter*,27,DET,130,464,433,66,109,18,5,26,62,0.291,0.497,0.788,carpeke01
165,Ryan Jeffers,28,MIN,119,464,406,47,108,26,0,9,47,0.356,0.397,0.752,jeffery01
166,Wilmer Flores,33,SFG,125,463,419,44,101,10,0,16,71,0.307,0.379,0.686,florewi01
167,Victor Scott II*,24,STL,138,463,398,54,86,15,1,5,37,0.305,0.296,0.601,scottvi01
168,Mark Vientos,25,NYM,121,463,424,44,99,21,2,17,61,0.289,0.413,0.702,vientma01
169,Jeff McNeil*,33,NYM,122,462,399,42,97,21,5,12,54,0.335,0.411,0.746,mcneije01
170,Mickey Moniak*,27,COL,135,461,434,62,117,20,8,24,68,0.306,0.518,0.824,moniami01
171,Isiah Kiner-Falefa,30,2TM,138,459,431,45,113,21,2,2,40,0.297,0.334,0.631,kineris01
171,Isiah Kiner-Falefa,30,PIT,119,428,401,40,106,20,2,1,35,0.3,0.332,0.632,kineris01
171,Isiah Kiner-Falefa,30,TOR,19,31,30,5,7,1,0,1,5,0.258,0.367,0.625,kineris01
172,Adam Frazier*,33,2TM,134,459,419,43,112,20,0,7,44,0.319,0.365,0.684,fraziad01
172,Adam Frazier*,33,PIT,78,262,235,22,60,10,0,3,21,0.318,0.336,0.654,fraziad01
172,Adam Frazier*,33,KCR,56,197,184,21,52,10,0,4,23,0.32,0.402,0.722,fraziad01
173,Kyle Stowers*,27,MIA,117,457,399,61,115,21,3,25,73,0.368,0.544,0.912,stoweky01
174,Willi Castro#,28,2TM,120,454,402,58,91,17,3,11,33,0.313,0.366,0.679,castrwi01
174,Willi Castro#,28,MIN,86,344,302,48,74,15,2,10,27,0.335,0.407,0.743,castrwi01
174,Willi Castro#,28,CHC,34,110,100,10,17,2,1,1,6,0.245,0.24,0.485,castrwi01
175,Patrick Bailey#,26,SFG,135,452,409,47,91,18,3,6,55,0.277,0.325,0.602,bailepa01
176,Iván Herrera,25,STL,107,452,388,54,110,13,0,19,66,0.373,0.464,0.837,herreiv01
177,Logan O'Hoppe,25,LAA,119,451,423,35,90,8,1,19,43,0.258,0.371,0.629,ohopplo01
178,Tommy Pham,37,PIT,120,449,392,44,96,17,1,10,52,0.33,0.37,0.7,phamth01
179,Austin Wells*,25,NYY,126,448,401,51,88,22,1,21,71,0.275,0.436,0.712,wellsau01
180,Austin Riley,28,ATL,102,447,416,54,108,20,1,16,54,0.309,0.428,0.737,rileyau01
181,Andrew Vaughn,27,2TM,112,447,406,35,103,22,0,14,65,0.307,0.411,0.719,vaughan01
181,Andrew Vaughn,27,CHW,48,193,185,9,35,8,0,5,19,0.218,0.314,0.531,vaughan01
181,Andrew Vaughn,27,MIL,64,254,221,26,68,14,0,9,46,0.375,0.493,0.869,vaughan01
182,Drake Baldwin*,24,ATL,124,446,405,56,111,18,2,19,80,0.341,0.469,0.81,baldwdr01
183,Carlos Narváez,26,BOS,118,446,403,51,97,27,0,15,50,0.306,0.419,0.726,narvaca01
184,Corey Seager*,31,TEX,102,445,380,61,103,19,0,21,50,0.373,0.487,0.86,seageco01
185,Isaac Collins#,27,MIL,130,441,372,56,98,22,3,9,54,0.368,0.411,0.779,colliis01
186,Chandler Simpson*,24,TBR,109,441,414,53,122,15,3,0,26,0.326,0.345,0.671,simpsch01
187,Nathan Lukes*,30,TOR,135,438,388,55,99,19,2,12,65,0.323,0.407,0.73,lukesna01
188,Isaac Paredes,26,HOU,102,438,378,53,96,15,1,20,53,0.352,0.458,0.809,paredis01
189,Javier Báez,32,DET,126,437,417,55,107,17,3,12,57,0.282,0.398,0.68,baezja01
190,Matt Shaw,23,CHC,126,437,393,57,89,21,3,13,44,0.295,0.394,0.69,shawma01
191,Nolan Arenado,34,STL,107,436,401,48,95,18,1,12,52,0.289,0.377,0.666,arenano01
192,Will Smith,30,LAD,110,436,362,64,107,20,1,17,61,0.404,0.497,0.901,smithwi05
193,Josh Lowe*,27,TBR,108,435,396,56,87,21,2,11,40,0.283,0.366,0.65,lowejo01
194,Jonah Heim#,30,TEX,124,433,395,38,84,14,0,11,43,0.271,0.332,0.602,heimjo01
195,Brett Baty*,25,NYM,130,432,393,53,100,13,2,18,50,0.313,0.435,0.748,batybr01
196,Luis Robert Jr.,27,CHW,110,431,382,52,85,12,0,14,53,0.297,0.364,0.661,roberlu01
197,Jasson Domínguez#,22,NYY,123,429,381,58,98,18,1,10,47,0.331,0.388,0.719,dominja01
198,Tyler Freeman,26,COL,110,428,377,50,106,20,2,2,31,0.354,0.361,0.715,freemty01
199,Jake Mangum#,29,TBR,118,428,405,37,120,18,1,3,40,0.33,0.368,0.698,manguja01
200,Brandon Marsh*,27,PHI,133,425,379,59,106,25,2,11,43,0.342,0.443,0.785,marshbr02
201,Jonathan Aranda*,27,TBR,106,422,370,56,117,22,0,14,59,0.393,0.489,0.883,arandjo01
202,Daniel Schneemann*,28,CLE,131,422,379,48,78,18,1,12,41,0.283,0.354,0.636,schneda04
203,Carson Kelly,30,CHC,111,421,369,48,92,13,1,17,50,0.333,0.428,0.761,kellyca02
204,Wilyer Abreu*,26,BOS,115,417,373,53,92,17,0,22,69,0.317,0.469,0.786,abreuwi02
205,Nick Allen,26,ATL,135,416,371,32,82,11,0,0,22,0.284,0.251,0.535,allenni02
206,Austin Hays,29,CIN,103,416,380,60,101,16,5,15,64,0.315,0.453,0.768,haysau01
207,Bo Naylor*,25,CLE,123,414,359,46,70,22,1,14,47,0.282,0.379,0.661,naylobo01
208,Ronald Acuña Jr.,27,ATL,95,412,338,74,98,12,1,21,42,0.417,0.518,0.935,acunaro01
209,Spencer Horwitz*,27,PIT,108,411,364,55,99,26,0,11,51,0.353,0.434,0.787,horwisp01
210,Kyle Isbel*,28,KCR,135,409,368,42,94,16,4,4,33,0.301,0.353,0.654,isbelky01
211,Nick Gonzales,26,PIT,96,408,381,39,99,18,3,5,30,0.299,0.362,0.661,gonzani01
212,Nolan Jones*,27,CLE,136,403,355,34,75,14,2,5,34,0.296,0.304,0.6,jonesno01
213,Royce Lewis,26,MIN,106,403,376,36,89,18,0,13,52,0.283,0.388,0.671,lewisro02
214,Edgar Quero#,22,CHW,111,403,365,31,98,17,0,5,36,0.333,0.356,0.689,queroed01
215,Nolan Gorman*,25,STL,111,402,351,48,72,14,1,14,46,0.296,0.37,0.666,gormano01
216,Mauricio Dubón,30,HOU,133,398,369,43,89,21,0,7,33,0.289,0.355,0.644,dubonma01
217,Jordan Walker,23,STL,111,396,363,40,78,13,1,6,41,0.278,0.306,0.584,walkejo02
218,Matt Wallner*,27,MIN,104,392,336,47,68,16,3,22,40,0.311,0.464,0.776,wallnma01
219,Ramón Urías,31,2TM,112,391,352,33,85,17,0,11,44,0.292,0.384,0.675,uriasra01
219,Ramón Urías,31,BAL,77,290,258,27,64,12,0,8,34,0.3,0.388,0.688,uriasra01
219,Ramón Urías,31,HOU,35,101,94,6,21,5,0,3,10,0.267,0.372,0.64,uriasra01
220,Liam Hicks*,26,MIA,119,390,332,37,82,13,1,6,45,0.346,0.346,0.693,hicksli01
221,Ezequiel Tovar,23,COL,95,390,360,44,91,18,4,9,33,0.294,0.4,0.694,tovarez01
222,Pedro Pagés,26,STL,112,389,361,38,83,15,0,11,45,0.272,0.363,0.635,pagespe02
223,Max Muncy*,34,LAD,100,388,313,48,76,10,2,19,67,0.376,0.47,0.846,muncyma01
224,Victor Caratini#,31,HOU,114,386,344,35,89,14,0,12,46,0.324,0.404,0.728,caratvi01
225,Kody Clemens*,29,2TM,119,386,348,46,74,12,4,19,52,0.281,0.434,0.715,clemeko01
225,Kody Clemens*,29,PHI,7,7,6,0,0,0,0,0,0,0.143,0,0.143,clemeko01
225,Kody Clemens*,29,MIN,112,379,342,46,74,12,4,19,52,0.284,0.442,0.725,clemeko01
226,Mike Tauchman*,34,CHW,93,385,335,44,88,17,1,9,40,0.356,0.4,0.756,tauchmi01
227,Wenceel Pérez#,25,DET,100,383,344,47,84,17,4,13,43,0.308,0.43,0.738,perezwe01
228,Brayan Rocchio#,24,CLE,115,383,344,34,80,18,2,5,44,0.29,0.34,0.63,rocchbr01
229,Jake Meyers,29,HOU,104,381,343,53,100,15,2,3,24,0.354,0.373,0.727,meyerja02
230,Tommy Edman#,30,LAD,97,377,346,49,78,13,1,13,49,0.274,0.382,0.655,edmanto01
231,Jake Burger,29,TEX,103,376,356,43,84,15,1,16,53,0.269,0.419,0.687,burgeja01
232,Jared Triolo,27,PIT,107,376,331,41,75,18,2,7,24,0.311,0.356,0.667,triolja01
233,Jurickson Profar#,32,ATL,80,371,318,56,78,16,1,14,43,0.353,0.434,0.787,profaju01
234,José Caballero,28,2TM,126,370,314,52,74,18,1,5,36,0.339,0.347,0.686,cabaljo01
234,José Caballero,28,TBR,86,275,235,37,53,12,1,2,27,0.327,0.311,0.638,cabaljo01
234,José Caballero,28,NYY,40,95,79,15,21,6,0,3,9,0.372,0.456,0.828,cabaljo01
235,Andrés Giménez*,26,TOR,101,369,329,39,69,11,1,7,35,0.285,0.313,0.598,gimenan01
236,Adley Rutschman#,27,BAL,90,365,322,37,71,16,2,9,29,0.307,0.366,0.673,rutscad01
237,Jacob Young,25,WSN,120,364,324,34,75,10,1,2,31,0.296,0.287,0.583,youngja03
238,Colton Cowser*,25,BAL,92,360,327,36,64,14,0,16,40,0.269,0.385,0.655,cowseco01
239,Noelvi Marté,23,CIN,90,360,339,45,89,17,2,14,51,0.3,0.448,0.748,marteno01
240,Ryan Mountcastle,28,BAL,89,357,332,34,83,18,0,7,35,0.286,0.367,0.653,mountry01
241,Jordan Westburg,26,BAL,85,352,328,59,87,10,1,17,41,0.313,0.457,0.77,westbjo01
242,Daylen Lile*,22,WSN,91,351,321,51,96,15,11,9,41,0.347,0.498,0.845,lileda01
243,Casey Schmitt,26,SFG,95,348,312,34,74,15,0,12,40,0.305,0.401,0.706,schmica01
244,Freddy Fermin,30,2TM,109,347,319,32,80,13,0,5,26,0.297,0.339,0.636,fermifr01
244,Freddy Fermin,30,KCR,67,208,192,17,49,7,0,3,12,0.309,0.339,0.648,fermifr01
244,Freddy Fermin,30,SDP,42,139,127,15,31,6,0,2,14,0.278,0.339,0.617,fermifr01
245,JJ Bleday*,27,ATH,98,344,307,48,65,17,0,14,39,0.294,0.404,0.698,bledajj01
246,Jose Iglesias,35,SDP,112,343,306,29,70,11,0,3,36,0.298,0.294,0.592,iglesjo01
247,Javier Sanoja,22,MIA,118,342,313,40,76,22,4,6,38,0.287,0.396,0.683,sanojja01
248,Tyler Stephenson,28,CIN,88,342,299,40,69,18,0,13,50,0.316,0.421,0.737,stephty01
249,Romy González,28,BOS,96,341,315,47,96,23,3,9,53,0.343,0.483,0.826,gonzaro01
250,Tyrone Taylor,31,NYM,113,341,310,34,69,18,3,2,27,0.279,0.319,0.598,tayloty01
251,Miguel Andujar,30,2TM,94,341,321,36,102,17,1,10,44,0.352,0.47,0.822,andujmi01
251,Miguel Andujar,30,ATH,60,231,218,22,65,10,1,6,27,0.329,0.436,0.765,andujmi01
251,Miguel Andujar,30,CIN,34,110,103,14,37,7,0,4,17,0.4,0.544,0.944,andujmi01
252,Sean Murphy,30,ATL,94,337,291,34,58,13,0,16,45,0.3,0.409,0.709,murphse01
253,Connor Norby,25,MIA,88,337,311,42,78,17,1,8,34,0.3,0.389,0.689,norbyco01
254,Michael Toglia#,26,COL,88,337,306,22,58,15,1,11,32,0.258,0.353,0.611,toglimi01
255,Danny Jansen,30,2TM,98,337,288,38,62,11,0,14,36,0.321,0.399,0.721,janseda01
255,Danny Jansen,30,TBR,73,259,221,28,45,8,0,11,29,0.314,0.389,0.703,janseda01
255,Danny Jansen,30,MIL,25,78,67,10,17,3,0,3,7,0.346,0.433,0.779,janseda01
256,Dane Myers,29,MIA,106,333,307,29,72,10,0,6,31,0.291,0.326,0.617,myersda01
257,Joey Bart,28,PIT,93,332,285,21,71,12,1,4,30,0.355,0.34,0.696,bartjo01
258,Luis Urías,28,ATH,96,330,287,27,66,7,0,8,25,0.315,0.338,0.653,uriaslu01
259,Starling Marte,36,NYM,98,329,293,37,79,14,0,9,34,0.335,0.41,0.745,martest01
260,Brooks Baldwin#,24,CHW,103,328,300,32,72,15,1,11,38,0.29,0.407,0.697,baldwbr01
261,Santiago Espinal,30,CIN,114,328,301,25,73,12,0,0,16,0.292,0.282,0.575,espinsa01
262,Rhys Hoskins,32,MIL,90,328,279,30,66,12,1,12,43,0.332,0.416,0.748,hoskirh01
263,Kyle Higashioka,35,TEX,94,327,303,33,73,14,1,11,47,0.291,0.403,0.693,higasky01
264,Trey Sweeney*,25,DET,118,326,296,36,58,6,2,6,32,0.258,0.291,0.548,sweentr01
265,Michael A. Taylor,34,CHW,134,325,295,33,59,20,1,9,35,0.259,0.366,0.625,taylomi02
266,Dylan Crews,23,WSN,85,322,293,43,61,8,2,10,27,0.28,0.352,0.631,crewsdy01
267,Alex Call,30,2TM,110,322,270,43,72,13,2,5,31,0.361,0.385,0.746,callal02
267,Alex Call,30,WSN,72,237,197,30,54,9,2,3,26,0.371,0.386,0.756,callal02
267,Alex Call,30,LAD,38,85,73,13,18,4,0,2,5,0.333,0.384,0.717,callal02
268,Miguel Rojas,36,LAD,114,317,290,35,76,18,0,7,27,0.318,0.397,0.715,rojasmi02
269,Taylor Walls#,28,TBR,101,317,282,36,62,14,1,4,38,0.28,0.319,0.599,wallsta01
270,Jorge Soler,33,LAA,82,315,279,31,60,12,0,12,34,0.293,0.387,0.68,solerjo01
271,Rowdy Tellez*,30,2TM,112,312,289,34,66,11,0,17,49,0.276,0.443,0.719,tellero01
271,Rowdy Tellez*,30,SEA,62,185,173,20,36,6,0,11,27,0.249,0.434,0.682,tellero01
271,Rowdy Tellez*,30,TEX,50,127,116,14,30,5,0,6,22,0.315,0.457,0.772,tellero01
272,Gabriel Moreno,25,ARI,83,309,277,44,79,12,1,9,40,0.353,0.433,0.786,morenga01
273,Joc Pederson*,33,TEX,96,306,265,28,48,10,1,9,26,0.285,0.328,0.614,pederjo01
274,Christopher Morel,26,TBR,105,305,278,37,61,16,0,11,33,0.289,0.396,0.684,morelch01
275,Roman Anthony*,21,BOS,71,303,257,48,75,18,1,8,32,0.396,0.463,0.859,anthoro01
276,Jose Trevino,32,CIN,93,302,282,30,67,20,0,4,22,0.272,0.351,0.623,trevijo01
277,Kyle Farmer,34,COL,97,300,277,24,63,14,0,8,31,0.28,0.365,0.645,farmeky01
278,Myles Straw,30,TOR,137,299,267,51,70,14,1,4,32,0.313,0.367,0.68,strawmy01
279,Kyle Teel*,23,CHW,78,297,253,38,69,11,0,8,35,0.375,0.411,0.786,teelky01
280,Thomas Saggese,23,STL,82,295,275,25,71,17,0,2,25,0.299,0.342,0.641,saggeth01
281,Ben Williamson,24,SEA,85,295,277,36,70,13,0,1,21,0.294,0.31,0.604,willibe03
282,Heriberto Hernández,25,MIA,87,294,256,40,68,12,1,10,45,0.347,0.438,0.784,hernahe01
283,Coby Mayo,23,BAL,85,294,263,30,57,12,0,11,28,0.299,0.388,0.687,mayoco01
284,Randal Grichuk,33,2TM,113,293,272,35,62,18,1,9,27,0.273,0.401,0.674,grichra01
284,Randal Grichuk,33,ARI,70,188,175,25,42,15,1,7,22,0.277,0.457,0.734,grichra01
284,Randal Grichuk,33,KCR,43,105,97,10,20,3,0,2,5,0.267,0.299,0.566,grichra01
285,Mitch Garver,34,SEA,87,290,254,29,53,5,1,9,30,0.297,0.343,0.639,garvemi01
286,Yoán Moncada#,30,LAA,84,289,248,39,58,13,2,12,35,0.336,0.448,0.783,moncayo01
287,Pavin Smith*,29,ARI,87,288,244,36,63,17,1,8,28,0.362,0.434,0.797,smithpa04
288,Riley Adams,29,WSN,83,286,263,29,49,8,0,8,24,0.252,0.308,0.56,adamsri03
289,Colson Montgomery*,23,CHW,71,284,255,43,61,9,1,21,55,0.311,0.529,0.84,montgco01
290,Abraham Toro#,28,BOS,77,284,259,33,62,13,0,7,27,0.289,0.371,0.659,toroab01
291,Henry Davis,25,PIT,87,283,252,25,42,7,0,7,22,0.234,0.278,0.512,davishe01
292,Elias Díaz,34,SDP,106,283,255,34,52,7,0,9,29,0.27,0.337,0.607,diazel01
293,Luis Torrens,29,NYM,92,283,261,20,59,14,1,5,29,0.284,0.345,0.629,torrelu01
294,Giancarlo Stanton,35,NYY,77,281,249,36,68,8,0,24,66,0.35,0.594,0.944,stantmi03
295,Francisco Alvarez,23,NYM,76,277,246,32,63,12,1,11,32,0.339,0.447,0.787,alvarfr01
296,Michael Massey*,27,KCR,77,277,262,20,64,9,0,3,20,0.268,0.313,0.581,massemi02
297,Brady House,22,WSN,73,274,261,26,61,11,0,4,29,0.252,0.322,0.574,housebr01
298,Daulton Varsho*,28,TOR,71,271,248,43,59,13,2,20,55,0.284,0.548,0.833,varshda01
299,Eli White,31,ATL,105,271,256,43,60,8,3,10,35,0.27,0.406,0.677,whiteel04
300,Dominic Canzone*,27,SEA,82,269,243,30,73,11,0,11,32,0.358,0.481,0.84,canzodo01
301,Keibert Ruiz#,26,WSN,68,267,255,19,63,12,0,2,25,0.277,0.318,0.595,ruizke01
302,Blaze Alexander,26,ARI,74,266,230,31,53,12,1,7,28,0.323,0.383,0.706,alexabl01
303,Oswald Peraza,25,2TM,106,265,244,24,40,6,0,5,20,0.223,0.25,0.473,perazos02
303,Oswald Peraza,25,NYY,71,170,158,18,24,5,0,3,13,0.212,0.241,0.452,perazos02
303,Oswald Peraza,25,LAA,35,95,86,6,16,1,0,2,7,0.245,0.267,0.512,perazos02
304,Curtis Mead,24,2TM,90,264,240,26,56,10,1,3,19,0.299,0.321,0.62,meadcu01
304,Curtis Mead,24,TBR,49,132,115,14,26,2,1,3,8,0.318,0.339,0.657,meadcu01
304,Curtis Mead,24,CHW,41,132,125,12,30,8,0,0,11,0.28,0.304,0.584,meadcu01
305,Kristian Campbell,23,BOS,67,263,229,24,51,10,0,6,21,0.319,0.345,0.664,campbkr01
306,Edmundo Sosa,29,PHI,89,261,243,30,67,12,1,11,39,0.307,0.469,0.777,sosaed01
307,Cole Young*,21,SEA,77,257,223,24,47,7,1,4,24,0.302,0.305,0.607,youngco01
308,Kiké Hernández,33,LAD,92,256,232,30,47,8,0,10,35,0.255,0.366,0.621,hernaen02
309,Will Benson*,27,CIN,90,253,230,31,52,8,2,12,41,0.273,0.435,0.708,bensowi01
310,Tyler Fitzgerald,27,SFG,72,243,217,19,47,10,1,4,14,0.278,0.327,0.606,fitzgty01
311,Dylan Moore,32,2TM,106,243,219,35,44,5,0,11,25,0.267,0.374,0.642,mooredy01
311,Dylan Moore,32,SEA,88,213,192,29,37,5,0,9,19,0.263,0.359,0.622,mooredy01
311,Dylan Moore,32,TEX,18,30,27,6,7,0,0,2,6,0.3,0.481,0.781,mooredy01
